commit;number;title
cff438c21473b8d93a516f8d31440871a284883d;11; Add note to the gotchas showing that expressions in sympy are immutable
a19b3030f7eae5beab6727d62911e7e84a07b2e5;2156;Heuristic 2
76b133d856b2fa5a2a2fe1b6f59dc145b75496a7;2218;App engine compatibility: fail on subprocess import
28c30eb8977ae616b10f6bd9e64d06b4ad3f1728;2029;lxml instead of libxml2 for c2p
2585bd0b08aa84faab2a5149c5086823ce0c20e0;2065;Issue 3796
b4db1f3bcd6add6a24f71a77b40e067c8366f84e;2126;WIP: Incremental progress on sparse polynomials
ede17114b8038cb8fe6620ec70df58f3386ad4b9;1847;runtests: Show operands of failed tests' assert statements
c7fbd905302c64e4a3d6c82566faf00976d82d49;2273;Remove Python 2.5 stuff (#3930)
c7fbd905302c64e4a3d6c82566faf00976d82d49;3930;sympy.physics.units uses from sympy import *
4703ea9fded14068f96e18aa3e24acab026f2cc2;2293;0.7.3 merge
4703ea9fded14068f96e18aa3e24acab026f2cc2;2293;0.7.3 merge
4703ea9fded14068f96e18aa3e24acab026f2cc2;2293;0.7.3 merge
4a15675f6893438e303963eb13e5100447153e2c;2276;Make mutable matrices not hashable (issue 880)
9348a9a589598e0ca0c238f83bb4d10ed427504b;2286;Refactored the heuristic code and rewrote the second heuristic
423d51c458c8cc14baa4adcf4e1598e46936e73e;2318;Single Python 2 and 3 compatible codebase
11c0bd394ce130463733190a0e32a0576081d4fb;2322;Issue 1756: don't do division by order term
cca64e928b0b0d0f1fab7e61c9bfa717d272958f;2308;Heuristics, for assumptions on xi and eta
69e8a9a68173af7eb5ebcb2bdc4ff66ae3ccc60d;2307;solving quadratic congruences
36c31b952879b45f96d89cb83c0caf39ca3bd759;2497;"Report test name in case of runtest failure; add missing print_function."
43053e196c4126f51852ef3f7e273c1bbc8d4ad7;2828;Ellipse
15cd7f14bfc803519c33c995531a737ed96f1f74;2784;Update mpmath to 0.18
15cd7f14bfc803519c33c995531a737ed96f1f74;2784;Update mpmath to 0.18
15cd7f14bfc803519c33c995531a737ed96f1f74;2784;Update mpmath to 0.18
15cd7f14bfc803519c33c995531a737ed96f1f74;2784;Update mpmath to 0.18
c432cabf0709cacbb217d6382067accff3648283;7342_;Wrong error message in diop_linear
c432cabf0709cacbb217d6382067accff3648283;7343;Wrong result with a single variable equation with diophantine
c432cabf0709cacbb217d6382067accff3648283;7448;Filter diophantine solutions using assumptions issue #7444
79f3570b89af66116de721b06c69c3496ce3c184;5669;Remove bare except statements
79f3570b89af66116de721b06c69c3496ce3c184;5669;Remove bare except statements
79f3570b89af66116de721b06c69c3496ce3c184;5669;Remove bare except statements
221d645e79efcc27eeac18ab77010b7754572cce;7576;"Replace ""except:"" with ""except Exception:"""
221d645e79efcc27eeac18ab77010b7754572cce;7576;"Replace ""except:"" with ""except Exception:"""
221d645e79efcc27eeac18ab77010b7754572cce;7576;"Replace ""except:"" with ""except Exception:"""
cba01485059c200cb693db1e36ad4cebe10f6358;7566;Basic Vector framework
cba01485059c200cb693db1e36ad4cebe10f6358;7566;Basic Vector framework
b815b0a668c5f122d9c1761268faf1c53149a423;3;1985
5162de4a7f2767744205856cc6627dba695e8919;7733;Added more Tests to the Plane class.
f863b349f99d60fa6ab3c9ee53400145c1fc9eb7;7638;consolidate exp._eval_power and Pow._eval_power
a9efae9f179eb6675e8d2db0a63970d474b2857c;7876;Wrong result in `==` comparison of two FiniteSet
bee839304e3ede6ad2d949c417cc54881249a7b2;7879;Typecast Poly to PurePoly in RoofOf._new
29312686d60dfb4d61b87c2a60afdc82fc1f0319;8355;8247: use minpoly in Expr._eval_is_zero
7b208beabd00d4f3e617b0dc7e925e5a7e55e1d1;8239;nsimplify applied to ints should be fast
427bc0d6931170461c65b70320674416f83a17e6;8459;fixes #8239
427bc0d6931170461c65b70320674416f83a17e6;8239;nsimplify applied to ints should be fast
302497d960c0a9f692485827c6183d467ecda0ca;8821;N(<decimal string>) limited to double precision
d12404067b1ae75ac1b5af123c2bd0c4c8372d10;8826;  Float: losslessly convert strings to high-precision Floats
3a45e0c3eaf1409a7b2b0d3290b08c2f3cb3dfc3;8921;Fixed incompatiblity with latest version of pyglet (1.2alpha1)
3a45e0c3eaf1409a7b2b0d3290b08c2f3cb3dfc3;8921;Fixed incompatiblity with latest version of pyglet (1.2alpha1)
f13ed6d61273c30ee26be08b8505aa1bceef7991;68;Property doctests: Fix the bug where @property methods' docstrings are not doctested (issue 1947)
f13ed6d61273c30ee26be08b8505aa1bceef7991;68;Property doctests: Fix the bug where @property methods' docstrings are not doctested (issue 1947)
f13ed6d61273c30ee26be08b8505aa1bceef7991;68;Property doctests: Fix the bug where @property methods' docstrings are not doctested (issue 1947)
f13ed6d61273c30ee26be08b8505aa1bceef7991;68;Property doctests: Fix the bug where @property methods' docstrings are not doctested (issue 1947)
f13ed6d61273c30ee26be08b8505aa1bceef7991;68;Property doctests: Fix the bug where @property methods' docstrings are not doctested (issue 1947)
c82136305fda499f652d23df6d66ad7b25238181;9307;Tested Point3D
838b3bbd9683f9d895e88c61e36cf59a06736015;72;Call remove: Remove the __call__ shortcut to subs in Basic (issue 1927)
918c1a16daaeb52fd3f901bd36035a56f4dba7b5;9484;Separate metaclass hierarchy from class hierarchy
c964b359c0e9aedbd3625fcc707fa70528eb777e;9441;GeometricEntities are now Sets
ef3e72e63439461746a8d4c2c04defde206ba059;9553;splitting simplify.py
ef3e72e63439461746a8d4c2c04defde206ba059;9553;splitting simplify.py
c6ecbc13e13404fd0f9a3e017b7f06dd97aa404a;8432;Tests fail, seems like Cython is not configured to compile with numpy correctly
98e62970c731ee342fc66bd41aebe75ac6cf1432;9647;autowrap: Don't fail if we can't delete the temporary directory
7c4c82506ddea0b503823c0653a0cabf4201844d;9904;Build docs on Python3 : Update numpydoc
6ef8db75733132eeae9cf7535971032165825134;9906;is_convergent method implementation for Sum
